CustomerID,Age,Gender,MaritalStatus,AnnualIncome (USD),TotalPurchases,PreferredCategory
1000,58,Male,Divorced,99531,14,Appliances
1001,25,Female,Divorced,58197,9,Electronics
1002,19,Male,Divorced,79308,21,Electronics
1003,65,Male,Single,85028,26,Appliances
1004,35,Female,Married,89460,2,Appliances
1005,33,Female,Single,74681,3,Electronics
1006,32,Male,Divorced,50631,22,Appliances
1007,26,Female,Single,78503,21,Appliances
1008,65,Male,Single,70846,13,Electronics
1009,24,Male,Single,72517,12,Appliances
1010,61,Male,Divorced,104395,17,Appliances
1011,65,Female,Divorced,108148,26,Appliances
1012,52,Female,Single,41135,24,Appliances
1013,23,Male,Single,36895,22,Appliances
1014,55,Male,Single,50392,6,Appliances
1015,45,Male,Married,50632,1,Electronics
1016,20,Male,Divorced,110981,5,Appliances
1017,19,Female,Married,36522,28,Appliances
1018,23,Male,Divorced,118338,20,Appliances
1019,31,Male,Single,40693,22,Electronics
1020,32,Female,Married,65665,26,Appliances
1021,50,Female,Single,88079,15,Electronics
1022,56,Male,Married,116761,2,Appliances
1023,19,Female,Single,85576,5,Electronics
1024,53,Male,Divorced,93656,3,Appliances
1025,30,Male,Single,109570,8,Appliances
1026,63,Female,Divorced,87939,25,Appliances
1027,59,Male,Single,84287,21,Appliances
1028,62,Female,Single,65804,12,Electronics
1029,52,Male,Divorced,58255,12,Electronics
1030,44,Male,Divorced,97154,13,Appliances
1031,32,Female,Married,44918,19,Appliances
1032,46,Female,Single,75242,2,Electronics
1033,55,Female,Married,86349,20,Electronics
1034,35,Male,Married,44534,5,Electronics
1035,69,Male,Divorced,67125,22,Electronics
1036,18,Male,Divorced,118895,15,Electronics
1037,66,Male,Single,118930,12,Electronics
1038,69,Female,Married,107743,12,Electronics
1039,28,Female,Single,93783,15,Electronics
1040,62,Female,Married,99066,25,Electronics
1041,45,Male,Divorced,117442,3,Appliances
1042,39,Female,Single,70425,19,Appliances
1043,35,Female,Married,35952,5,Appliances
1044,27,Female,Divorced,58903,17,Electronics
1045,31,Female,Married,81807,12,Electronics
1046,66,Male,Single,108554,13,Electronics
1047,39,Male,Divorced,37180,11,Electronics
1048,24,Female,Married,31007,21,Appliances
1049,23,Male,Married,56794,9,Appliances
1050,42,Female,Single,69507,8,Appliances
1051,24,Male,Single,57686,4,Electronics
1052,40,Male,Single,47987,1,Appliances
1053,40,Female,Divorced,63491,24,Appliances
1054,56,Female,Divorced,67938,6,Appliances
1055,34,Female,Single,73007,16,Electronics
1056,69,Female,Divorced,45726,17,Electronics
1057,20,Male,Married,31013,13,Electronics
1058,64,Female,Single,95193,30,Electronics
1059,47,Male,Divorced,86446,18,Electronics
1060,52,Female,Divorced,53028,4,Appliances
1061,25,Male,Single,46932,9,Electronics
1062,42,Female,Single,79834,25,Electronics
1063,23,Male,Divorced,99806,9,Appliances
1064,53,Male,Divorced,60161,23,Appliances
1065,36,Female,Single,95570,15,Electronics
1066,58,Female,Divorced,103233,7,Appliances
1067,57,Male,Married,117562,20,Electronics
1068,41,Female,Divorced,76421,10,Electronics
1069,54,Female,Married,39447,23,Appliances
1070,30,Male,Married,82044,30,Electronics
1071,63,Female,Divorced,35544,16,Appliances
1072,22,Female,Divorced,87176,7,Appliances
1073,20,Female,Single,32456,4,Appliances
1074,60,Female,Married,90260,5,Appliances
1075,32,Female,Divorced,40205,28,Electronics
1076,67,Female,Married,71033,3,Appliances
1077,36,Male,Single,105465,15,Appliances
1078,23,Male,Married,86267,6,Electronics
1079,32,Female,Divorced,105156,29,Electronics
1080,24,Female,Divorced,83008,23,Appliances
1081,42,Male,Married,113904,15,Electronics
1082,35,Female,Single,84747,3,Appliances
1083,47,Female,Married,67947,26,Appliances
1084,58,Male,Divorced,45096,22,Electronics
1085,41,Female,Single,83088,28,Electronics
1086,28,Female,Married,32733,11,Appliances
1087,41,Male,Married,72568,22,Appliances
1088,40,Female,Single,52527,12,Electronics
1089,31,Female,Married,111018,23,Electronics
1090,60,Female,Single,90305,3,Appliances
1091,35,Female,Single,77428,18,Appliances
1092,62,Female,Single,41551,18,Appliances
1093,61,Male,Single,87240,10,Electronics
1094,59,Female,Married,43875,29,Appliances
1095,22,Male,Married,61891,10,Electronics
1096,56,Male,Divorced,87104,28,Electronics
1097,58,Female,Single,107184,6,Electronics
1098,28,Female,Divorced,82487,23,Appliances
1099,52,Male,Divorced,98676,23,Appliances
1100,64,Male,Married,40308,30,Electronics
1101,33,Female,Married,81873,23,Electronics
1102,28,Male,Married,70668,21,Appliances
